Tree_num,Species,Leaf #,DBH (cm),Petiole length,Total_length_cm,Middle_lobe_length_cm,Middle_lobe_width_cm,Person
1,Norway maple,1,27.94,13.37,26.39,4.76,77.70,River
1,Norway maple,2,27.94,15.31,30.33,7.10,5.46,River
1,Norway maple,3,27.94,11.88,25.21,5.43,5.36,River
1,Norway maple,4,27.94,13.96,27.43,6.23,5.11,River
1,Norway maple,5,27.94,15.56,31.46,7.60,6.90,River
2,Norway maple,1,27.18,11.84,23.50,4.75,5.93,River
2,Norway maple,2,27.18,11.74,25.44,5.57,6.24,River
2,Norway maple,3,27.18,14.18,26.89,6.28,5.44,River
2,Norway maple,4,27.18,14.00,28.77,6.11,6.42,River
2,Norway maple,5,27.18,16.96,30.97,7.40,6.09,River
3,red maple,1,13.10,5.60,17.95,7.06,6.25,River
3,red maple,2,13.10,4.58,15.43,5.93,5.11,River
3,red maple,3,13.10,4.27,14.67,5.44,4.93,River
3,red maple,4,13.10,5.76,16.96,6.06,5.05,River
3,red maple,5,13.10,5.26,16.65,5.80,5.08,River
4,red maple,1,25.40,6.38,15.59,6.22,3.93,River
4,red maple,2,25.40,7.91,16.08,6.40,4.11,River
4,red maple,3,25.40,5.70,13.48,5.59,3.13,River
4,red maple,4,25.40,5.75,15.13,5.90,38.10,River
4,red maple,5,25.40,10.01,20.21,6.58,3.94,River
5,sugar maple,1,34.80,9.40,22.90,7.61,6.08,River
5,sugar maple,2,34.80,13.15,23.56,5.75,4.61,River
5,sugar maple,3,34.80,9.55,23.07,7.24,5.25,River
5,sugar maple,4,34.80,12.70,22.11,5.10,3.75,River
5,sugar maple,5,34.80,9.85,20.22,5.28,4.60,River
6,sugar maple,1,36.32,11.98,24.97,6.74,6.72,River
6,sugar maple,2,36.32,11.20,25.07,7.91,6.09,River
6,sugar maple,3,36.32,4.82,14.17,5.08,4.43,River
6,sugar maple,4,36.32,11.69,22.53,5.78,4.77,River
6,sugar maple,5,36.32,8.08,17.76,4.79,4.30,River
1,Red maple,1,,6.22,15.69,5.12,4.86,Aidan
1,Red maple,2,,6.08,17.09,5.38,5.15,Aidan
1,Red maple,3,,5.9,16.73,4.74,4.31,Aidan
1,Red maple,4,,7.69,17.48,3.99,3.89,Aidan
1,Red maple,5,,3.33,12.06,4.62,4.94,Aidan
2,Red maple,1,,4.45,15.58,5.54,5.25,Aidan
2,Red maple,2,,5.57,17.31,5.81,5.22,Aidan
2,Red maple,3,,6.28,17.06,5.61,4.91,Aidan
2,Red maple,4,,3.61,13.38,47.1,4.36,Aidan
2,Red maple,5,,5.11,16.56,5.88,5.13,Aidan
3,Sugar maple,1,,6.87,18.34,6.88,5.9,Aidan
3,Sugar maple,2,,6.09,17.08,6.47,3.69,Aidan
3,Sugar maple,3,,7.63,22.25,9.04,4.98,Aidan
3,Sugar maple,4,,5.82,16.25,5.89,3.64,Aidan
3,Sugar maple,5,,5.08,15.33,5.89,3.42,Aidan
4,Sugar maple,1,,6.91,18.04,5.64,5.46,Aidan
4,Sugar maple,2,,6.31,17.22,5.52,3.19,Aidan
4,Sugar maple,3,,7.1,16.84,5.72,3.21,Aidan
4,Sugar maple,4,,7.01,17.06,5.52,3.2,Aidan
4,Sugar maple,5,,4.72,13.93,5.34,3.11,Aidan
5,Norway maple,1,,6.46,16.78,6.06,3.36,Aidan
5,Norway maple,2,,6.95,18.13,6.15,4.53,Aidan
5,Norway maple,3,,8.21,21.77,8.22,6.36,Aidan
5,Norway maple,4,,13.47,26.39,6.73,5.72,Aidan
5,Norway maple,5,,9.13,20.41,5.37,4.72,Aidan
6,Norway maple,1,,6.53,15.77,5.37,3.53,Aidan
6,Norway maple,2,,12.38,23.09,4.86,4.51,Aidan
6,Norway maple,3,,10.57,20.99,4.98,4.86,Aidan
6,Norway maple,4,,13.82,27.23,5.65,4.86,Aidan
6,Norway maple,5,,11.1,19.86,3.68,3.98,Aidan
1,Red maple,1,,4.77,13,5.61,4.61,Rae
1,Red maple,2,,5.24,12.92,4.76,3.14,Rae
1,Red maple,3,,4.72,12.13,4.39,3.22,Rae
1,Red maple,4,,6.62,14.19,4.36,3.45,Rae
1,Red maple,5,,3.86,11.68,4.97,4.49,Rae
2,Red maple,1,,11.23,18.93,3.41,3.71,Rae
2,Red maple,2,,8.9,16.31,3.9,3.36,Rae
2,Red maple,3,,3.29,9.65,3.06,3.03,Rae
2,Red maple,4,,1.92,8.71,3.66,2.69,Rae
2,Red maple,5,,8.22,15.2,3.11,3.11,Rae
3,Sugar maple,1,,13.9,29.44,8.69,5.85,Rae
3,Sugar maple,2,,16.9,30.33,6.92,4.71,Rae
3,Sugar maple,3,,14.38,31.48,9.66,5.32,Rae
3,Sugar maple,4,,7.19,17.98,5.26,4.29,Rae
3,Sugar maple,5,,6.39,16.23,5.47,3.39,Rae
4,Sugar maple,1,,10.26,21.67,7.12,3.1,Rae
4,Sugar maple,2,,7.72,17.27,5.52,3.56,Rae
4,Sugar maple,3,,3.2,13.9,5.41,3.97,Rae
4,Sugar maple,4,,7.07,16.09,5.29,3.52,Rae
4,Sugar maple,5,,5.44,15.37,5.85,3.76,Rae
5,Norway maple,1,,10.48,20.37,4.34,4.22,Rae
5,Norway maple,2,,6.02,14.93,3.68,3.66,Rae
5,Norway maple,3,,10.01,19.48,3.71,4.31,Rae
5,Norway maple,4,,7.93,18.37,4.36,4.14,Rae
5,Norway maple,5,,9.42,19.11,4.2,3.79,Rae
6,Norway maple,1,,8.65,19.7,5.24,4.94,Rae
6,Norway maple,2,,13.68,25.53,4.3,6.6,Rae
6,Norway maple,3,,10.65,22.82,4.2,4.76,Rae
6,Norway maple,4,,8.83,20.31,5.22,5.78,Rae
6,Norway mapel,5,,8.81,21.16,5.53,5.54,Rae
2,Norway maple,1,41.23,10.15,23.77,5.31,6.55,Peter
2,Norway maple,2,41.23,13.62,28.5,5.52,6.74,Peter
2,Norway maple,3,41.23,15.96,28.8,5.14,6.06,Peter
2,Norway maple,4,41.23,13,24.93,4.43,6.26,Peter
2,Norway maple,5,41.23,12.72,26.47,5.14,7.14,Peter
4,Norway maple,1,25.07,14.49,29.82,7.4,6.33,Peter
4,Norway maple,2,25.07,9.59,20.1,6.11,5.02,Peter
4,Norway maple,3,25.07,11.43,22.86,4.09,5.97,Peter
4,Norway maple,4,25.07,12.68,26.79,6.87,5.83,Peter
4,Norway maple,5,25.07,10.6,25.46,7.52,5.77,Peter
5,Red maple,1,14.76,7.28,18.2,5.24,5.02,Peter
5,Red maple,2,14.76,6.14,16.56,4.75,4.91,Peter
5,Red maple,3,14.76,8.8,20.22,5.24,4.82,Peter
5,Red maple,4,14.76,12.42,21.56,3.83,3.97,Peter
5,Red maple,5,14.76,7.7,19.24,5.27,5.07,Peter
6,Red maple,1,8.89,7.59,17.81,4.42,4.65,Peter
6,Red maple,2,8.89,6.63,15.86,3.95,4.3,Peter
6,Red maple,3,8.89,9.42,21.66,5.33,6.9,Peter
6,Red maple,4,8.89,6.78,15.75,4.28,4.99,Peter
6,Red maple,5,8.89,8.98,19.97,5.44,5.66,Peter
1,Sugar maple,1,28.3,6.14,16.98,5.19,4.04,Peter
1,Sugar maple,2,28.3,11.38,23.23,5.15,4.38,Peter
1,Sugar maple,3,28.3,10.04,21.97,5.6,4.52,Peter
1,Sugar maple,4,28.3,8.37,20.52,5.85,4.58,Peter
1,Sugar maple,5,28.3,3.95,12.24,3.81,3.08,Peter
3,Sugar maple,1,36.78,7.73,18.46,4.43,4.23,Peter
3,Sugar maple,2,36.78,12.68,25.43,5.37,5.39,Peter
3,Sugar maple,3,36.78,8.01,18.28,4.19,5.07,Peter
3,Sugar maple,4,36.78,14.88,26.96,5.7,5.27,Peter
3,Sugar maple,5,36.78,5.72,13.19,2.84,3,Peter
1,Norway Maple,1,16.55,14.86,42.97,7.77,9.04,Olivia
1,Norway Maple,2,16.55,12.72,26.19,6.12,5.08,Olivia
1,Norway Maple,3,16.55,17.63,31.29,6.06,5.15,Olivia
1,Norway Maple,4,16.55,10.18,24.17,6.57,5.14,Olivia
1,Norway Maple,5,16.55,9.25,22.56,5.77,4.94,Olivia
2,Norway Maple,1,17.19,7.58,19.27,5.89,4.57,Olivia
2,Norway Maple,2,17.19,16.79,31.13,5.95,6.68,Olivia
2,Norway Maple,3,17.19,12.51,24.19,5.6,4.72,Olivia
2,Norway Maple,4,17.19,13.72,26.7,5.3,5.45,Olivia
2,Norway Maple,5,17.19,13.6,26.44,5.89,5.43,Olivia
3,Red Maple,1,25.15,12.49,22.21,5.76,3.28,Olivia
3,Red Maple,2,25.15,7.7,23.69,6.09,3.81,Olivia
3,Red Maple,3,25.15,13.35,22.75,5.42,3.58,Olivia
3,Red Maple,4,25.15,14.67,27.03,7.42,4.29,Olivia
3,Red Maple,5,25.15,6.26,12.97,3.93,2.16,Olivia
4,Red Maple,1,18.46,8.24,16.29,5.08,2.45,Olivia
4,Red Maple,2,18.46,10.17,19.7,5.91,2.64,Olivia
4,Red Maple,3,18.46,8.53,16.29,4.78,2.64,Olivia
4,Red Maple,4,18.46,8.89,17.59,5.45,2.82,Olivia
4,Red Maple,5,18.46,8.57,16.32,4.78,2.65,Olivia
5,Sugar Maple,1,30.24,14.98,27.83,7.23,4.94,Olivia
5,Sugar Maple,2,30.24,12.21,25.71,8.04,5.62,Olivia
5,Sugar Maple,3,30.24,12.5,26.13,7.91,5.28,Olivia
5,Sugar Maple,4,30.24,11.52,24.8,8.5,4.62,Olivia
5,Sugar Maple,5,30.24,14.14,26.8,7.38,4.44,Olivia
6,Sugar Maple,1,37.56,15.01,28.26,7.55,4.25,Olivia
6,Sugar Maple,2,37.56,8.57,20.57,6.27,4.46,Olivia
6,Sugar Maple,3,37.56,13.83,25.68,5.95,4.14,Olivia
6,Sugar Maple,4,37.56,12.2,24.43,6.62,4.78,Olivia
6,Sugar Maple,5,37.56,9.37,19.86,5.26,3.82,Olivia
